geography_name,total_population,median_age,median_household_income,poverty_universe,population_below_poverty,civilian_labor_force,unemployed_population,occupied_housing_units,owner_occupied_units,renter_occupied_units,median_gross_rent,median_home_value,state,county,tract
Census Tract 98; Shelby County; Tennessee,2524,37.7,62819,2524,501,1084,38,1056,531,525,1195,117200,47,157,009800
Census Tract 99.01; Shelby County; Tennessee,3118,30.4,43655,3118,1405,1223,130,1029,419,610,1156,67200,47,157,009901
Census Tract 99.02; Shelby County; Tennessee,2030,29.2,20563,2019,1004,824,163,861,309,552,1069,58200,47,157,009902
Census Tract 100.01; Shelby County; Tennessee,3009,43.0,43527,3009,516,1404,20,1191,605,586,1316,82100,47,157,010001
Census Tract 100.02; Shelby County; Tennessee,2996,35.1,36495,2952,755,1463,256,1227,555,672,1121,95400,47,157,010002
Census Tract 101.20; Shelby County; Tennessee,5214,20.9,26112,5214,3364,1574,319,1623,619,1004,1025,79000,47,157,010120
Census Tract 101.21; Shelby County; Tennessee,2443,33.4,25515,2441,1061,1046,278,960,366,594,1371,85400,47,157,010121
Census Tract 101.22; Shelby County; Tennessee,3315,21.6,25123,3315,1916,975,130,978,182,796,967,107800,47,157,010122
Census Tract 102.10; Shelby County; Tennessee,5979,33.2,41373,5979,1474,2456,194,2055,902,1153,1216,84800,47,157,010210
Census Tract 102.20; Shelby County; Tennessee,6127,37.0,39899,6127,2075,2142,271,2463,1174,1289,1131,118600,47,157,010220
Census Tract 103; Shelby County; Tennessee,1499,29.0,32941,1499,490,591,63,622,263,359,1169,111200,47,157,010300
Census Tract 105; Shelby County; Tennessee,2844,31.0,27875,2544,1083,982,69,1069,106,963,1156,67300,47,157,010500
Census Tract 106.10; Shelby County; Tennessee,5879,25.4,37741,5856,2321,2334,54,2118,617,1501,1210,83100,47,157,010610
Census Tract 106.20; Shelby County; Tennessee,3409,26.6,41638,3409,1088,1398,181,1114,290,824,1131,95700,47,157,010620
Census Tract 106.30; Shelby County; Tennessee,4154,25.2,38030,4154,1573,1666,228,1221,300,921,1043,106800,47,157,010630
Census Tract 107.10; Shelby County; Tennessee,3959,33.7,48995,3959,808,1868,247,1348,783,565,1445,124000,47,157,010710
Census Tract 107.20; Shelby County; Tennessee,3648,32.5,50267,3648,689,1981,224,1436,492,944,1169,172300,47,157,010720
Census Tract 108.10; Shelby County; Tennessee,6653,28.5,58581,6653,2021,3371,347,1779,792,987,1216,122700,47,157,010810
Census Tract 108.20; Shelby County; Tennessee,4859,33.7,62629,4812,885,2200,187,1603,848,755,1347,167000,47,157,010820
Census Tract 110.10; Shelby County; Tennessee,3525,26.9,48490,3525,729,1509,81,1267,698,569,980,118100,47,157,011010
Census Tract 110.20; Shelby County; Tennessee,1375,30.9,43140,1375,542,685,62,598,275,323,1132,100400,47,157,011020
Census Tract 111; Shelby County; Tennessee,1549,44.7,26842,1549,583,504,72,696,274,422,811,60700,47,157,011100
Census Tract 112; Shelby County; Tennessee,946,49.9,30825,946,348,333,81,549,193,356,873,45100,47,157,011200
Census Tract 113; Shelby County; Tennessee,1221,37.2,42462,1205,257,710,90,726,122,604,1030,78000,47,157,011300
Census Tract 114.01; Shelby County; Tennessee,1625,28.6,39555,1625,454,763,66,756,39,717,1026,-666666666,47,157,011401
Census Tract 114.02; Shelby County; Tennessee,3763,36.1,32859,1749,601,869,36,1087,0,1087,1251,-666666666,47,157,011402
Census Tract 115; Shelby County; Tennessee,1925,42.5,27460,1879,850,559,216,667,174,493,832,60300,47,157,011500
Census Tract 116; Shelby County; Tennessee,2071,21.3,18182,1957,1209,632,160,776,220,556,686,58700,47,157,011600
Census Tract 117; Shelby County; Tennessee,1036,44.5,43875,952,273,509,70,489,226,263,798,123900,47,157,011700
Census Tract 118; Shelby County; Tennessee,6680,26.3,55694,6680,1372,3598,428,2037,945,1092,1259,96700,47,157,011800
Census Tract 201.01; Shelby County; Tennessee,4088,30.8,57917,4088,784,1844,94,1454,701,753,1281,123900,47,157,020101
Census Tract 201.02; Shelby County; Tennessee,2912,53.8,72664,2886,443,955,33,1081,868,213,1607,301500,47,157,020102
